DISTRICT,AREA_CLUSTER_OF_AREAS,TOTAL_NUMBER_OF_VENUES,TOTAL_NUMBER_OF_EGMS,TOTAL_GMP_NZD,DATE
Grand Total,NA,1381,17670,214220772.82000038,2012-12-01
Grand Total,NA,1421,18309,219152159.43999967,2011-06-01
Grand Total,NA,1343,17320,205612319.1399995,2013-09-01
GRAND TOTAL,NA,1410,18133,220113195.69000015,2011-12-01
GRAND TOTAL,NA,1335,17266,206239852.80000022,2013-12-01
GRAND TOTAL,NA,1287,16717,209535215.4400001,2014-12-01
GRAND TOTAL,NA,1238,16393,214138376.93999985,2015-12-01
GRAND TOTAL,NA,1206,16148,223405864.77999994,2016-12-01
GRAND TOTAL,NA,1156,15632,228688869.16000006,2017-12-01
GRAND TOTAL,NA,1117,15257,236475278.65999955,2018-12-01
GRAND TOTAL,NA,1080,14856,242278294.43000033,2019-12-01
GRAND TOTAL,NA,1400,17943,208193010.69999972,2012-06-01
GRAND TOTAL,NA,1372,17631,206059747.3000002,2013-06-01
GRAND TOTAL,NA,1321,17130,200078871.8000001,2014-06-01
GRAND TOTAL,NA,1266,16579,206684859.0899999,2015-06-01
GRAND TOTAL,NA,1220,16238,215823111.43999994,2016-06-01
GRAND TOTAL,NA,1180,15858,219729523.38000056,2017-06-01
GRAND TOTAL,NA,1140,15420,226461333.62000003,2018-06-01
GRAND TOTAL,NA,1094,15007,234106962.74999973,2019-06-01
GRAND TOTAL,NA,1367,17542,192446793.50000015,2013-03-01
GRAND TOTAL,NA,1330,17182,192179745.23000017,2014-03-01
GRAND TOTAL,NA,1277,16614,193185735.4900001,2015-03-01
GRAND TOTAL,NA,1224,16274,199147131.2299998,2016-03-01
GRAND TOTAL,NA,1196,16013,207144024.91999996,2017-03-01
GRAND TOTAL,NA,1146,15490,211864192.02999988,2018-03-01
GRAND TOTAL,NA,1103,15118,217490953.42999998,2019-03-01
GRAND TOTAL,NA,1300,16814,206230732.97999987,2014-09-01
GRAND TOTAL,NA,1255,16440,212971861.26,2015-09-01
GRAND TOTAL,NA,1214,16221,218637376.12999988,2016-09-01
GRAND TOTAL,NA,1163,15717,227156523.96000016,2017-09-01
GRAND TOTAL,NA,1130,15342,234953921.19000074,2018-09-01
GRAND TOTAL,Whangarei Central,13,186,3720953.95,2019-09-01
GRAND TOTAL,NA,1080,14894,243982547.52,2019-09-01
